Gary Goodridge,John Campetella,1996-07-12 00:00:00,17
Mark Coleman,Moti Horenstein,1996-07-12 00:00:00,15
Brian Johnston,Scott Fiedler,1996-07-12 00:00:00,17
Don Frye,Mark Hall,1996-07-12 00:00:00,15
Sam Adkins,Felix Lee Mitchell,1996-07-12 00:00:00,16
Geza Kalman,Dieusel Berto,1996-07-12 00:00:00,17
Scott Ferrozzo,David Abbott,1996-09-20 00:00:00,18
Mark Coleman,Brian Johnston,1996-09-20 00:00:00,14
Jerry Bohlander,Fabio Gurgel,1996-09-20 00:00:00,16
David Abbott,Sam Adkins,1996-09-20 00:00:00,17
Brian Johnston,Reza Nasri,1996-09-20 00:00:00,17
Mark Coleman,Julian Sanchez,1996-09-20 00:00:00,14
Roberto Traven,Dave Berry,1996-09-20 00:00:00,16
Scott Ferrozzo,Sam Fulton,1996-09-20 00:00:00,16
Don Frye,David Abbott,1996-12-07 00:00:00,14
David Abbott,Steve Nelmark,1996-12-07 00:00:00,17
Don Frye,Mark Hall,1996-12-07 00:00:00,13
Ken Shamrock,Brian Johnston,1996-12-07 00:00:00,14
Kimo Leopoldo,Paul Varelans,1996-12-07 00:00:00,19
David Abbott,Cal Worsham,1996-12-07 00:00:00,15
Don Frye,Gary Goodridge,1996-12-07 00:00:00,12
Tai Bowden,Jack Nilson,1996-12-07 00:00:00,17
Steve Nelmark,Marcus Bossett,1996-12-07 00:00:00,17
Mark Hall,Felix Lee Mitchell,1996-12-07 00:00:00,15
Mark Coleman,Dan Severn,1997-02-07 00:00:00,18
Vitor Belfort,Scott Ferrozzo,1997-02-07 00:00:00,17
Jerry Bohlander,Nick Sanzo,1997-02-07 00:00:00,16
Vitor Belfort,Tra Telligman,1997-02-07 00:00:00,16
Scott Ferrozzo,Jim Mullen,1997-02-07 00:00:00,16
Yoshiki Takahashi,Wallid Ismail,1997-02-07 00:00:00,16
Jerry Bohlander,Rainy Martinez,1997-02-07 00:00:00,15
Justin Martin,Eric Martin,1997-02-07 00:00:00,16
Nick Sanzo,Jackie Lee,1997-02-07 00:00:00,17
Vitor Belfort,David Abbott,1997-05-30 00:00:00,17
Randy Couture,Steven Graham,1997-05-30 00:00:00,16
Guy Mezger,Tito Ortiz,1997-05-30 00:00:00,15
Randy Couture,Tony Halme,1997-05-30 00:00:00,16
Steven Graham,Dmitri Stepanov,1997-05-30 00:00:00,17
Enson Inoue,Royce Alger,1997-05-30 00:00:00,16
Guy Mezger,Christophe Leninger,1997-05-30 00:00:00,14
Jack Nilson,Saeed Hosseini,1997-05-30 00:00:00,17
Tito Ortiz,Wes Albritton,1997-05-30 00:00:00,17
Maurice Smith,Mark Coleman,1997-07-27 00:00:00,21
Mark Kerr,Dan Bobish,1997-07-27 00:00:00,16
Kevin Jackson,Tony Fryklund,1997-07-27 00:00:00,16
Dan Bobish,Brian Johnston,1997-07-27 00:00:00,17
Mark Kerr,Moti Horenstein,1997-07-27 00:00:00,15
Kevin Jackson,Todd Butler,1997-07-27 00:00:00,16
Joe Moreira,Yuri Vaulin,1997-07-27 00:00:00,17
Alex Hunter,Sam Fulton,1997-07-27 00:00:00,16
Tony Fryklund,Donnie Chappell,1997-07-27 00:00:00,17
Maurice Smith,David Abbott,1997-10-17 00:00:00,16
Mark Kerr,Dwayne Cason,1997-10-17 00:00:00,15
Randy Couture,Vitor Belfort,1997-10-17 00:00:00,17
Dave Beneteau,Carlos Barreto,1997-10-17 00:00:00,17
Mark Kerr,Greg Stott,1997-10-17 00:00:00,14
Dwayne Cason,Houston Dorr,1997-10-17 00:00:00,17
Alex Hunter,Harry Moskowitz,1997-10-17 00:00:00,16
Randy Couture,Maurice Smith,1997-12-21 00:00:00,16
Kazushi Sakuraba,Marcus Silveira,1997-12-21 00:00:00,16
Vitor Belfort,Joe Charles,1997-12-21 00:00:00,16
Frank Shamrock,Kevin Jackson,1997-12-21 00:00:00,18
David Abbott,Yoji Anjo,1997-12-21 00:00:00,16
Tra Telligman,Brad Kohler,1997-12-21 00:00:00,17
Frank Shamrock,Igor Zinoviev,1998-03-13 00:00:00,16
Tsuyoshi Kohsaka,Kimo Leopoldo,1998-03-13 00:00:00,16
Pat Miletich,Chris Brennan,1998-03-13 00:00:00,16
Jerry Bohlander,Kevin Jackson,1998-03-13 00:00:00,15
Pat Miletich,Townsend Saunders,1998-03-13 00:00:00,16
Mikey Burnett,Eugenio Tadeu,1998-03-13 00:00:00,16
Chris Brennan,Courtney Turner,1998-03-13 00:00:00,17
Laverne Clark,Josh Stuart,1998-03-13 00:00:00,16
Frank Shamrock,Jeremy Horn,1998-05-15 00:00:00,15
Pete Williams,Mark Coleman,1998-05-15 00:00:00,20
Dan Henderson,Carlos Newton,1998-05-15 00:00:00,16
David Abbott,Hugo Duarte,1998-05-15 00:00:00,16
Mike van Arsdale,Joe Pardo,1998-05-15 00:00:00,16
Carlos Newton,Bob Gilstrap,1998-05-15 00:00:00,17
Dan Henderson,Allan Goes,1998-05-15 00:00:00,16
Andre Roberts,Harry Moskowitz,1998-05-15 00:00:00,16
Chuck Liddell,Noe Hernandez,1998-05-15 00:00:00,16
Frank Shamrock,John Lober,1998-10-16 00:00:00,14
Vitor Belfort,Wanderlei Silva,1998-10-16 00:00:00,14
Pedro Rizzo,David Abbott,1998-10-16 00:00:00,18
Pat Miletich,Mikey Burnett,1998-10-16 00:00:00,16
Tsuyoshi Kohsaka,Pete Williams,1998-10-16 00:00:00,17
Ebenezer Fontes Braga,Jeremy Horn,1998-10-16 00:00:00,16
Tulio Palhares,Adriano Santos,1998-10-16 00:00:00,16
Cesar Marscucci,Paulo Santos,1998-10-16 00:00:00,16
Bas Rutten,Tsuyoshi Kohsaka,1999-01-08 00:00:00,18
Pat Miletich,Jorge Patino,1999-01-08 00:00:00,14
Pedro Rizzo,Mark Coleman,1999-01-08 00:00:00,18
Tito Ortiz,Jerry Bohlander,1999-01-08 00:00:00,19
Mikey Burnett,Townsend Saunders,1999-01-08 00:00:00,16
Evan Tanner,Darrel Gholar,1999-01-08 00:00:00,16
